ID,RO_E15,RO_G15,RO_TOTAL,P_RO_E15,P_RO_G15,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP
C05030,117,113,230,0.508695652,0.491304348,0.004225352,0.94084507,0.002112676,0.026760563
C05031,121,108,229,0.528384279,0.471615721,0.003303055,0.98265896,0.003303055,0.004954583
C05032,234,176,410,0.570731707,0.429268293,0.054101222,0.870855148,0.020069808,0.031413613
C05033,214,141,355,0.602816901,0.397183099,0.009860312,0.967132293,0,0.007395234
C05034,245,159,404,0.606435644,0.393564356,0.726415094,0.03628447,0.135703919,0.062409289
C05035,196,169,365,0.536986301,0.463013699,0.495593219,0.247457633,0.118644063,0.088813558
C05036,145,101,246,0.589430894,0.410569106,0.005524862,0.974217312,0,0.005524862
C05037,233,154,387,0.602067183,0.397932817,0.511259383,0.328607173,0.096747289,0.041701418
C05038,162,119,281,0.576512456,0.423487544,0.00270027,0.96939694,0.00180018,0.00810081
C05039,173,134,307,0.563517915,0.436482085,0.457504529,0.220614822,0.241410486,0.040687161
C05040,171,132,303,0.564356436,0.435643564,0.019056261,0.954627949,0,0.004537205
C05041,149,78,227,0.656387665,0.343612335,0.413483146,0.408988764,0.101123596,0.042696629
C06001,202,148,350,0.577142857,0.422857143,0.003246753,0.975108225,0,0.006493507
C06002,192,129,321,0.598130841,0.401869159,0.006437768,0.967811158,3.76E-17,0.013948498
C06003,235,98,333,0.705705706,0.294294294,0.006722689,0.976470588,0.001680673,0.010084033
C06004,133,87,220,0.604545455,0.395454545,0.000896861,0.972197309,0,0.009865471
C06005,120,97,217,0.552995392,0.447004608,0.000685401,0.989033585,0,0.006168609
C06006,164,121,285,0.575438596,0.424561404,0.002214839,0.970099668,0.00110742,0.016611296
C06007,160,104,264,0.606060606,0.393939394,0.006661732,0.974093264,5.60E-12,0.006661732
C06008,176,145,321,0.548286604,0.451713396,0.004232804,0.979894179,0.001058201,0.004232805
C06009,141,113,254,0.55511811,0.44488189,0.000716332,0.97277937,0,0.020773639
C06010,108,78,186,0.580645161,0.419354839,0.005319149,0.967420213,0.001994681,0.014627659
C06011,135,108,243,0.555555556,0.444444444,0.00399361,0.977635783,0.003194888,0.007188499
C06012,101,75,176,0.573863636,0.426136364,0.003489184,0.976971389,0,0.011863224
C06013,121,106,227,0.533039648,0.466960352,0.009234829,0.972295513,0,0.003957784
C06014,156,126,282,0.553191489,0.446808511,0.026061778,0.951737449,0,0.00965251
C06015,138,109,247,0.558704453,0.441295547,0.007446808,0.979787234,5.28E-11,0.00319149
C06016,185,152,337,0.548961424,0.451038576,0.003363229,0.950672647,0,0.033632286
C06017,141,72,213,0.661971831,0.338028169,0.00310752,0.983219391,0,0.010565569
C06018,118,82,200,0.59,0.41,0.01285347,0.969151671,0,0.01285347
C06019,183,97,280,0.653571429,0.346428571,0.001850139,0.987974098,0,0.000925069
C06020,88,71,159,0.553459119,0.446540881,0.003731343,0.966417911,0,0.008955224
C06021,107,66,173,0.61849711,0.38150289,0.008858267,0.968503937,0,0.013779528
C06022,111,92,203,0.54679803,0.45320197,0.002028398,0.976673428,1.40E-10,0.015212981
C06023,97,77,174,0.557471264,0.442528736,0,0.969957082,0,0.015021458
C06024,104,61,165,0.63030303,0.36969697,0.004153686,0.968847352,0,0.020768432
C06025,95,79,174,0.545977011,0.454022989,0.003267974,0.982026144,0.000816993,0.001633987
C06026,90,80,170,0.529411765,0.470588235,0.003579098,0.969219757,0,0.008589835
C06027,74,86,160,0.4625,0.5375,0,0.979710145,0,0.007729469
C06028,79,68,147,0.537414966,0.462585034,0.00310559,0.986024845,6.99E-18,0.003881988
C06029,198,153,351,0.564102564,0.435897436,0.004944376,0.967861561,0.002472187,0.003708282
C06030,121,118,239,0.506276151,0.493723849,0.000818331,0.979541735,0,0.004909984
C06031,191,130,321,0.595015576,0.404984424,0.002666667,0.978666667,0.001333333,0.006666667
C06032,155,117,272,0.569852941,0.430147059,0.004119465,0.979402677,0,0.010298661
C06033,167,135,302,0.552980132,0.447019868,0.007326007,0.966117216,0.000915751,0.003663004
C06034,170,133,303,0.561056106,0.438943894,0.001821494,0.97996357,0,0.007285975
C06035,166,130,296,0.560810811,0.439189189,0.002597402,0.977922078,0,0.014285714
