full_text,precinct,ward,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,TOTVOTES,LIGHTFOOT,PRECKWINKLE,P_LIGHT,P_PRECK,
3023,23,3,0.015898255,0.950715414,0.001589825,0.011128779,235,158,77,0.672340426,0.327659574,
3024,24,3,0.01013715,0.95110316,0.001788909,0.018485391,286,179,107,0.625874126,0.374125874,
3025,25,3,0.560262966,0.124908693,0.250547845,0.042366691,528,426,102,0.806818182,0.193181818,
3026,26,3,0.545931759,0.212598425,0.159230096,0.05511811,444,330,114,0.743243243,0.256756757,
3027,27,3,0.590501797,0.151433696,0.14964157,0.074372759,383,307,76,0.80156658,0.19843342,
3028,28,3,0.007220216,0.95908544,0.007220217,0.010830325,261,177,84,0.67816092,0.32183908,
3029,29,3,0.028837998,0.94317218,0.016963528,0.002544529,314,215,99,0.684713376,0.315286624,
3030,30,3,0.003728562,0.94854586,0.004474273,0.014914242,289,184,105,0.636678201,0.363321799,
3031,31,3,0.028852458,0.939016393,0.001311475,0.020983608,387,248,139,0.640826873,0.359173127,
3032,32,3,0.480610299,0.252383979,0.167832168,0.069294342,347,240,107,0.691642651,0.308357349,
3033,33,3,0.609692207,0.165684348,0.129011133,0.0681074,333,260,73,0.780780781,0.219219219,
3034,34,3,0.534521161,0.253155158,0.129175946,0.057164069,367,292,75,0.795640327,0.204359673,
3035,35,3,0.071770335,0.844497605,0.011961724,0.055023923,143,89,54,0.622377622,0.377622378,
3036,36,3,0.002673797,0.964349376,0,0.021390375,151,100,51,0.662251656,0.337748344,
3037,37,3,0.017391304,0.943478262,0.000724638,0.023913043,253,153,100,0.604743083,0.395256917,
3038,38,3,0.01734104,0.949132948,0.002312139,0.019653179,324,195,129,0.601851852,0.398148148,
3039,39,3,0.617897727,0.104403409,0.181107956,0.064630681,428,342,86,0.799065421,0.200934579,
3040,40,3,0.222067039,0.636871509,0.05377095,0.059357542,257,192,65,0.747081712,0.252918288,
3041,41,3,0.367584331,0.354788684,0.198526558,0.051958123,309,184,125,0.595469256,0.404530744,
4001,1,4,0.472507808,0.234242317,0.16987035,0.082253013,436,189,247,0.433486239,0.566513761,
4002,2,4,0.511597088,0.145791915,0.248508943,0.055666004,391,308,83,0.787723785,0.212276215,
4003,3,4,0.017332331,0.941220795,0.004521477,0.021100226,265,129,136,0.486792453,0.513207547,
4004,4,4,0.021943574,0.941065831,0.001253918,0.015047022,475,289,186,0.608421053,0.391578947,
4005,5,4,0.025129983,0.914211437,0.017331023,0.028596187,395,223,172,0.564556962,0.435443038,
4006,6,4,0.114701133,0.601777055,0.213247174,0.042003231,436,284,152,0.651376147,0.348623853,
4007,7,4,0.054650046,0.891658679,0.016299136,0.020134229,483,294,189,0.608695652,0.391304348,
4008,8,4,0.030377668,0.922824304,0.005747127,0.019704433,404,217,187,0.537128713,0.462871287,
4009,9,4,0.034414954,0.882005893,0.041297935,0.014749263,479,236,243,0.492693111,0.507306889,
4010,10,4,0.056861255,0.847611835,0.021986352,0.036391204,418,247,171,0.590909091,0.409090909,
4011,11,4,0.016658501,0.951494365,0.003429691,0.010289074,319,198,121,0.620689655,0.379310345,
4012,12,4,0.016260163,0.949002218,0.001478197,0.011086474,371,230,141,0.619946092,0.380053908,
4013,13,4,0.675496698,0.147350978,0.060430469,0.076986755,251,200,51,0.796812749,0.203187251,
4014,14,4,0.056485362,0.773361213,0.125523019,0.016736404,367,213,154,0.580381471,0.419618529,
4015,15,4,0.048235296,0.889999998,0.017647056,0.020588238,417,237,180,0.568345324,0.431654676,
4016,16,4,0.675925915,0.129012347,0.099382726,0.064814814,425,323,102,0.76,0.24,
4017,17,4,0.74656404,0.081913147,0.080813637,0.056624517,393,298,95,0.75826972,0.24173028,
4018,18,4,0.017227236,0.942575881,0.003281378,0.015586545,398,230,168,0.577889447,0.422110553,
4019,19,4,0,0.964378801,0.004344049,0.015638575,224,160,64,0.714285714,0.285714286,
4020,20,4,0.517948729,0.222564098,0.194871791,0.051282048,316,235,81,0.743670886,0.256329114,
4021,21,4,0.586196319,0.239263802,0.042944787,0.10184049,325,243,82,0.747692308,0.252307692,
4022,22,4,0.323176345,0.59464452,0.018467226,0.026777465,385,196,189,0.509090909,0.490909091,
4023,23,4,0.47796142,0.36501376,0.084710766,0.030303038,483,187,296,0.387163561,0.612836439,
4024,24,4,0.163404282,0.750638264,0.024680855,0.028085106,329,163,166,0.495440729,0.504559271,
4025,25,4,0.630505713,0.121533439,0.159053833,0.062805874,388,299,89,0.770618557,0.229381443,
4026,26,4,0.025862071,0.925287354,0.001436783,0.015086208,334,190,144,0.568862275,0.431137725,
4027,27,4,0.343854934,0.447280054,0.080590996,0.084620559,426,212,214,0.497652582,0.502347418,
4028,28,4,0.054728547,0.582749553,0.317863407,0.01619965,311,186,125,0.59807074,0.40192926,
4029,29,4,0.0208,0.943199999,0.0088,0.0088,312,184,128,0.58974359,0.41025641,
4030,30,4,0.007868852,0.959344262,0.005245902,0.01704918,390,238,152,0.61025641,0.38974359,
4031,31,4,0.148816234,0.746335964,0.036076663,0.029312289,450,199,251,0.442222222,0.557777778,
4032,32,4,0.03495311,0.89173061,0.006820119,0.040920715,359,208,151,0.579387187,0.420612813,
4033,33,4,0.118906943,0.804283605,0.025849335,0.022156573,352,201,151,0.571022727,0.428977273,
4034,34,4,0.050806453,0.903225803,0.00403226,0.022580645,307,169,138,0.550488599,0.449511401,
4035,35,4,0.043905635,0.802096984,0.118610749,0.009174312,407,221,186,0.542997543,0.457002457,
4036,36,4,0.040977148,0.834515358,0.089046501,0.020488573,401,230,171,0.573566085,0.426433915,
4037,37,4,0.637326812,0.14995925,0.127954361,0.050529749,469,339,130,0.722814499,0.277185501,
4038,38,4,0.047999999,0.722666663,0.177777782,0.023999998,354,219,135,0.618644068,0.381355932,
5001,1,5,0.014747191,0.951544944,0.001404494,0.011235955,260,166,94,0.638461538,0.361538462,
5002,2,5,0.00754717,0.972641509,0,0.003773585,216,151,65,0.699074074,0.300925926,
5003,3,5,0.592829706,0.177976952,0.117157491,0.063380282,355,137,218,0.385915493,0.614084507,
5004,4,5,0.17057903,0.699530516,0.055555556,0.041471049,417,220,197,0.527577938,0.472422062,
5005,5,5,0.025125626,0.943287871,0.00143575,0.013639626,305,182,123,0.596721311,0.403278689,
5006,6,5,0.015957447,0.953900708,0.00177305,0.013297873,273,172,101,0.63003663,0.36996337,
5007,7,5,0.309791332,0.349384698,0.242375602,0.060460139,352,172,180,0.488636364,0.511363636,
5008,8,5,0.651898728,0.069620259,0.199819168,0.037070525,394,197,197,0.5,0.5,
5009,9,5,0.332575758,0.45757576,0.114393938,0.059090908,436,177,259,0.405963303,0.594036697,
5010,10,5,0.005965698,0.938851603,0.00372856,0.015659956,240,169,71,0.704166667,0.295833333,
5011,11,5,0.447298499,0.342781207,0.08680249,0.084145261,407,194,213,0.476658477,0.523341523,
5012,12,5,0.014856082,0.946146704,0,0.025998143,214,141,73,0.658878505,0.341121495,
5013,13,5,0.018909091,0.914181818,0.015272728,0.021090909,261,168,93,0.643678161,0.356321839,
5014,14,5,0.023809524,0.94235589,0.001253133,0.018796992,314,172,142,0.547770701,0.452229299,
5015,15,5,0.262975785,0.608131481,0.064878894,0.031141869,306,141,165,0.460784314,0.539215686,
5016,16,5,0.024573379,0.940614335,0.001365188,0.014334471,277,189,88,0.682310469,0.317689531,
5017,17,5,0.00241109,0.974080773,0,0.012055455,282,161,121,0.570921986,0.429078014,
5018,18,5,0.262327428,0.520710049,0.061143986,0.115384612,320,161,159,0.503125,0.496875,
5019,19,5,0.468426019,0.225259189,0.19038642,0.059377945,363,170,193,0.468319559,0.531680441,
5020,20,5,0.251247921,0.587354413,0.070715473,0.054908484,407,178,229,0.437346437,0.562653563,
5021,21,5,0.488936473,0.292648109,0.11420414,0.053533191,350,172,178,0.491428571,0.508571429,
5022,22,5,0.369930749,0.451038584,0.109792283,0.036597432,445,233,212,0.523595506,0.476404494,
5023,23,5,0.529965748,0.319349315,0.063356165,0.049657539,590,289,301,0.489830508,0.510169492,
5024,24,5,0.477083327,0.269444452,0.131944444,0.075000002,387,182,205,0.470284238,0.529715762,
5025,25,5,0.033927058,0.901611536,0.002544529,0.026293469,329,203,126,0.617021277,0.382978723,
5026,26,5,0.01212508,0.950223357,0.004467135,0.019783025,339,212,127,0.625368732,0.374631268,
5027,27,5,0.652595823,0.050460942,0.177098498,0.069868997,332,158,174,0.475903614,0.524096386,
5028,28,5,0.044852194,0.90723751,0,0.027522936,384,229,155,0.596354167,0.403645833,
5029,29,5,0.022490645,0.946772141,0,0.011245322,360,214,146,0.594444444,0.405555556,
5030,30,5,0.004225352,0.94084507,0.002112676,0.026760563,217,148,69,0.68202765,0.31797235,
5031,31,5,0.003303055,0.982658959,0.003303055,0.004954583,239,165,74,0.690376569,0.309623431,
5032,32,5,0.054101222,0.870855148,0.020069808,0.031413613,443,235,208,0.530474041,0.469525959,
5033,33,5,0.009860312,0.967132293,0,0.007395234,357,218,139,0.610644258,0.389355742,
5034,34,5,0.726415094,0.03628447,0.135703919,0.062409289,408,210,198,0.514705882,0.485294118,
5035,35,5,0.49559322,0.247457633,0.118644063,0.088813558,444,250,194,0.563063063,0.436936937,
5036,36,5,0.005524862,0.974217312,0,0.005524862,210,134,76,0.638095238,0.361904762,
5037,37,5,0.511259383,0.328607173,0.096747289,0.041701418,448,223,225,0.497767857,0.502232143,
5038,38,5,0.00270027,0.96939694,0.00180018,0.00810081,297,191,106,0.643097643,0.356902357,
5039,39,5,0.457504529,0.220614822,0.241410486,0.040687161,286,137,149,0.479020979,0.520979021,
5040,40,5,0.019056261,0.954627949,0,0.004537205,270,146,124,0.540740741,0.459259259,
